Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,Total_Approved_Units,Approval_Rate_1st_Sem,Approval_Rate_2nd_Sem,Grade_Improvement
Single,2nd phase—general contingent,5,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Other—11th Year,Service/Sales/Security,Unskilled Workers,Yes,No,No,Yes,Male,No,-0.4542357282825717,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,-0.2876384574425296,1.4,0.7657608350016585,Dropout,-1.533976558544737,0.0,0.0,0.14207920504978297
Single,International student (bachelor),1,Tourism,Daytime,Secondary education,Portuguese,Secondary Education,Higher Education Degree,Technicians & Professionals,Technicians & Professionals,Yes,No,No,No,Male,No,-0.6391059087721851,No,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,0.8762220667652447,-0.3,0.347199421388147,Graduate,0.4794672316946684,0.9999999998333333,0.9999999998333333,0.02674090348277903
Single,1st phase—general contingent,5,Communication Design,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,No,Male,No,-0.6391059087721851,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,-0.2876384574425296,1.4,0.7657608350016585,Dropout,-1.533976558544737,0.0,0.0,0.14207920504978297
Single,2nd phase—general contingent,2,Journalism and Communication,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Technicians & Professionals,Yes,No,No,Yes,Female,No,-0.4542357282825717,No,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,-0.8132528877299118,-0.8,-1.3755112388527264,Graduate,0.311680249174718,0.9999999998333333,0.8333333331944445,-0.2138218397855428
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,2.1339467985720155,No,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,0.8762220667652447,-0.3,0.347199421388147,Graduate,0.311680249174718,0.8333333331944445,0.9999999998333333,0.3727558081837903
Married,Over 23 years old,1,Management (evening attendance),Evening,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,No,Yes,Yes,Male,No,2.1339467985720155,No,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,1.7397314879516577,0.3,-0.40621112311617363,Graduate,0.14389326665476757,0.9999999998,0.9999999998,0.01850245337085022
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Skilled Industry Workers,Armed Forces,Yes,No,No,Yes,Female,Yes,-0.8239760892617984,No,0,7,9,7,13.3,0,0,8,8,8,14.345,0,1.476924272807967,2.8,-1.7896667428492534,Graduate,0.9828281792545197,0.9999999998571428,0.999999999875,0.5036647804623396
Single,3rd phase—general contingent,4,Tourism,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,No,Male,No,-0.08449536730334498,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,1.476924272807967,2.8,-1.7896667428492534,Dropout,-1.533976558544737,0.0,0.0,0.14207920504978297
Single,1st phase—general contingent,3,Social Service,Daytime,Secondary education,Romanian,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,-0.26936554779295835,Yes,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,1.7397314879516577,0.3,-0.40621112311617363,Graduate,0.4794672316946684,0.9999999998333333,0.9999999998333333,0.23476176880898225
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,Yes,No,Female,No,-0.8239760892617984,No,0,6,9,5,11.4,0,0,6,14,2,13.5,0,-1.0009723271182625,1.4,1.545606837207885,Dropout,-0.35946768090508374,0.8333333331944445,0.33333333327777775,0.8687105049219064
Single,1st phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Education 3rd Cycle,Service/Sales/Security,Skilled Industry Workers,Yes,No,No,Yes,Female,No,-0.8239760892617984,No,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,0.8762220667652447,-0.3,0.347199421388147,Graduate,0.311680249174718,0.9999999998333333,0.8333333331944445,0.7879736938250035
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,Yes,-0.8239760892617984,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,0.4256954122332026,3.7,-0.7498720732409514,Graduate,0.8150411967345693,0.874999999890625,0.874999999890625,0.14207920504978297
Single,1st phase—general contingent,2,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Administrative Staff,Unskilled Workers,Yes,No,No,Yes,Female,No,-0.6391059087721851,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,0.4256954122332026,3.7,-0.7498720732409514,Dropout,-1.533976558544737,0.0,0.0,0.14207920504978297
